6:12:31:194:181:534,6:12:31:234:381:900
6:13:31:606:81:128,6:13:31:846:676:772
6:14:32:16:256:833,6:14:32:259:35:279
6:15:32:435:100:345,6:15:32:675:860:441
6:16:32:672:812:185,6:16:32:720:377:268
6:17:33:59:515:50,6:17:33:303:654:782
6:18:33:474:588:813,6:18:33:722:915:632
6:19:33:896:378:332,6:19:34:137:498:634
6:20:34:305:163:321,6:20:34:553:609:788
6:21:34:720:546:273,6:21:34:867:375:922
6:22:35:136:148:545,6:22:35:388:922:610
6:23:35:551:598:336,6:23:35:802:684:522
6:24:35:967:258:257,6:24:36:220:240:768
6:25:36:383:265:762,6:25:36:635:871:575
6:26:36:799:453:44,6:26:37:52:165:985
6:27:37:13:852:809,6:27:37:107:48:598
6:28:37:425:697:271,6:28:37:685:557:296
6:29:37:844:976:488,6:29:38:99:320:589
6:30:38:257:491:344,6:30:38:513:845:832
6:31:38:776:298:644,6:31:38:929:992:326
6:32:38:891:242:713,6:32:38:949:242:385
6:33:39:300:294:981,6:33:39:558:410:418
6:34:39:716:650:249,6:34:39:975:84:523
6:35:40:132:678:503,6:35:40:391:232:160
6:36:40:549:43:364,6:36:40:823:350:56
6:37:40:967:674:616,6:37:41:227:522:306
6:38:41:381:121:742,6:38:41:641:335:453
6:39:41:797:449:180,6:39:42:60:720:162
6:40:42:214:436:759,6:40:42:474:357:82
6:41:42:632:170:574,6:41:42:890:850:162
6:42:43:47:144:407,6:42:43:307:666:354
6:43:43:470:615:991,6:43:43:726:553:335
6:44:43:889:845:491,6:44:44:140:720:536
6:45:44:312:293:630,6:45:44:557:138:336
6:46:44:730:835:253,6:46:44:973:887:625
6:47:44:946:15:695,6:47:45:85:588:126
6:48:45:139:75:710,6:48:45:180:256:110
6:49:45:151:753:619,6:49:45:190:198:216
6:50:45:203:239:873,6:50:45:237:644:390
6:51:45:359:272:885,6:51:45:623:72:5
6:52:45:407:399:716,6:52:45:460:849:593
6:53:45:645:105:100,6:53:45:666:983:53
6:54:45:832:341:517,6:54:45:852:317:495
6:55:46:45:629:514,6:55:46:69:379:364
6:56:46:259:49:773,6:56:46:288:38:754
6:57:46:572:677:79,6:57:46:592:243:824
6:58:46:685:721:844,6:58:46:711:270:453
6:59:46:897:239:722,6:59:46:911:46:782
7:0:47:112:276:509,7:0:47:131:773:428
7:1:47:221:711:208,7:1:47:250:52:847
7:2:47:334:235:933,7:2:47:372:720:744
7:3:47:747:682:32,7:3:47:961:549:155
7:4:47:962:551:139,7:4:47:989:79:794
7:5:48:174:53:272,7:5:48:181:166:921
7:6:48:391:395:413,7:6:48:408:478:491
7:7:48:599:566:822,7:7:48:607:390:943
7:8:48:811:816:353,7:8:48:818:346:588
7:9:49:29:263:833,7:9:49:33:572:9
7:10:49:341:20:126,7:10:49:365:924:948
7:11:49:449:43:894,7:11:49:452:24:797
7:12:49:676:234:209,7:12:49:679:257:414
7:13:49:874:111:729,7:13:49:875:932:359
7:14:50:87:200:395,7:14:50:93:986:284
7:15:50:308:770:750,7:15:50:322:252:561
7:16:50:545:356:659,7:16:50:615:186:442
7:17:50:844:895:815,7:17:50:931:499:470
7:18:50:923:354:890,7:18:50:939:326:794
7:19:51:133:22:842,7:19:51:151:513:125
7:20:51:395:974:952,7:20:51:420:458:135
7:21:51:543:682:221,7:21:51:574:38:127
7:22:51:753:213:956,7:22:51:790:416:117
7:23:52:173:455:223,7:23:52:399:404:969
7:24:52:375:23:108,7:24:52:424:820:205
7:25:52:587:108:477,7:25:52:632:690:472
7:26:52:791:293:357,7:26:53:45:284:231
7:27:53:103:997:596,7:27:53:190:217:599
7:28:53:219:701:918,7:28:53:279:50:797
7:29:53:728:589:675,7:29:53:876:776:729
7:30:53:828:778:368,7:30:53:891:143:723
7:31:54:47:705:64,7:31:54:108:664:664
7:32:54:305:294:580,7:32:54:417:114:912
7:33:54:662:451:292,7:33:54:926:585:907
7:34:54:880:703:83,7:34:54:945:576:278
7:35:55:289:602:676,7:35:55:554:997:447
7:36:55:701:502:779,7:36:55:981:697:286
7:37:56:14:963:639,7:37:56:91:373:231
7:38:56:131:212:424,7:38:56:200:776:203
7:39:56:340:965:918,7:39:56:423:527:885
7:40:56:747:824:616,7:40:57:29:637:703
7:41:56:967:686:133,7:41:57:40:995:696
7:42:57:374:10:916,7:42:57:651:652:361
7:43:57:593:513:813,7:43:57:673:265:751
7:44:57:799:187:260,7:44:57:891:440:855
7:45:58:313:342:317,7:45:58:491:343:84
7:46:58:425:260:484,7:46:58:503:33:486
7:47:58:837:578:286,7:47:59:125:290:579
7:48:59:258:451:667,7:48:59:541:215:119
7:49:59:668:453:450,7:49:59:958:214:264
7:51:0:88:855:741,7:51:0:374:525:1
7:52:0:305:183:816,7:52:0:387:768:465
7:53:0:722:712:787,7:53:0:996:841:651
7:54:1:135:34:22,7:54:1:413:389:768
7:55:1:559:770:512,7:55:1:829:892:784
7:56:1:978:389:581,7:56:2:350:275:431
7:57:2:498:980:974,7:57:2:662:725:381
7:58:2:605:353:387,7:58:2:676:768:738
7:59:2:836:47:50,7:59:2:905:509:46
0:0:3:338:106:165,0:0:3:507:34:355
0:1:3:449:63:601,0:1:3:515:600:470
0:2:3:863:812:101,0:2:4:130:600:149
0:3:4:280:804:352,0:3:4:547:403:727
0:4:4:697:346:230,0:4:4:963:966:8
0:5:5:114:281:649,0:5:5:380:354:196
0:6:5:330:330:810,0:6:5:393:17:448
0:7:5:743:793:939,0:7:6:8:817:336
0:8:6:166:784:720,0:8:6:322:925:562
0:9:6:379:62:70,0:9:6:460:762:186
0:10:6:788:258:490,0:10:7:53:400:276
0:11:7:205:736:885,0:11:7:470:240:932
0:12:7:626:138:856,0:12:7:789:319:977
0:13:8:42:565:394,0:13:8:307:647:812
0:14:8:459:299:985,0:14:8:724:505:798
0:15:8:877:72:547,0:15:9:140:541:641
0:16:9:292:992:869,0:16:9:563:40:631
0:17:9:317:614:466,0:17:9:382:873:937
