2:44:49:748:762:585,2:44:49:790:482:562
2:45:9:797:977:373,2:45:9:816:457:233
2:45:29:895:867:264,2:45:29:926:135:754
2:45:49:925:381:163,2:45:49:926:495:115
2:46:9:991:81:242,2:46:10:2:196:633
2:46:30:20:555:985,2:46:30:22:338:120
2:46:50:51:190:300,2:46:50:54:550:496
2:47:10:112:836:135,2:47:10:154:971:427
2:47:30:203:352:816,2:47:30:216:366:505
2:47:50:231:841:585,2:47:50:242:341:255
2:48:10:300:408:94,2:48:10:349:682:897
2:48:30:336:97:720,2:48:30:338:219:316
2:48:50:389:937:913,2:48:50:391:930:591
2:49:10:530:113:632,2:49:10:544:655:833
2:49:30:629:359:907,2:49:30:649:957:653
2:49:50:714:704:843,2:49:50:740:267:636
2:50:10:784:803:177,2:50:10:823:899:236
2:50:30:848:994:808,2:50:30:889:995:82
2:50:50:917:678:931,2:50:50:954:994:315
2:51:10:963:820:582,2:51:11:9:360:123
2:51:31:93:345:87,2:51:31:155:754:619
2:51:51:166:512:525,2:51:51:213:27:347
2:52:11:224:912:101,2:52:11:294:40:926
2:52:31:304:753:241,2:52:31:319:597:41
2:52:51:376:263:796,2:52:51:399:114:564
2:53:11:404:361:51,2:53:11:407:923:766
2:53:31:434:906:470,2:53:31:438:917:618
2:53:51:476:644:510,2:53:51:478:684:626
2:54:11:515:981:398,2:54:11:519:973:795
2:54:31:548:890:217,2:54:31:550:668:486
2:54:51:594:228:202,2:54:51:621:829:624
2:55:11:635:191:586,2:55:11:675:700:102
2:55:31:712:280:33,2:55:31:763:350:651
2:55:51:740:57:648,2:55:51:743:301:157
2:56:11:771:875:867,2:56:11:773:352:73
2:56:31:869:265:460,2:56:31:886:448:806
2:56:51:897:511:888,2:56:51:899:502:248
2:57:11:930:106:391,2:57:11:933:873:295
2:57:31:961:213:701,2:57:31:963:453:592
2:57:51:993:927:915,2:57:51:998:929:826
2:58:12:23:509:187,2:58:12:25:392:510
2:58:32:62:428:911,2:58:32:65:205:210
2:58:52:92:220:526,2:58:52:94:662:642
2:59:12:125:919:630,2:59:12:130:213:875
2:59:32:155:554:925,2:59:32:157:563:349
2:59:52:187:777:975,2:59:52:190:102:651
3:0:12:260:846:157,3:0:12:268:272:244
3:0:32:350:484:917,3:0:32:387:733:623
3:0:52:381:41:710,3:0:52:382:935:195
3:1:12:488:580:148,3:1:12:521:988:338
3:1:32:578:486:118,3:1:32:599:578:797
3:1:52:632:165:269,3:1:52:653:683:263
3:2:12:723:737:151,3:2:12:753:846:400
3:2:32:814:725:168,3:2:32:828:544:416
3:2:52:920:69:103,3:2:52:933:865:515
3:3:12:963:24:665,3:3:12:982:643:525
3:3:33:25:542:311,3:3:33:38:87:933
3:3:53:184:152:970,3:3:53:199:66:38
3:4:13:268:178:685,3:4:13:292:276:905
3:4:33:296:810:90,3:4:33:300:268:163
3:4:53:402:104:59,3:4:53:418:242:795
3:5:13:478:128:276,3:5:13:545:914:469
3:5:33:506:550:728,3:5:33:511:291:205
3:5:53:540:824:567,3:5:53:544:408:730
3:6:13:649:119:120,3:6:13:653:561:107
3:6:33:832:550:208,3:6:33:850:285:332
3:6:53:930:562:87,3:6:53:976:275:10
3:7:13:961:661:864,3:7:13:967:351:576
3:7:34:55:405:155,3:7:34:91:154:176
3:7:54:166:396:564,3:7:54:213:28:957
3:8:14:206:639:593,3:8:14:210:596:835
3:8:34:292:36:761,3:8:34:297:98:786
3:8:54:325:508:747,3:8:54:336:86:431
3:9:14:430:66:336,3:9:14:463:732:315
3:9:34:459:152:825,3:9:34:463:448:423
3:9:54:489:564:285,3:9:54:493:970:735
3:10:14:545:640:164,3:10:14:551:14:279
3:10:34:582:63:952,3:10:34:588:438:516
3:10:54:612:110:625,3:10:54:616:659:207
3:11:14:641:226:688,3:11:14:646:369:517
3:11:34:674:548:699,3:11:34:678:897:116
3:11:54:707:691:636,3:11:54:712:305:942
3:12:14:737:374:321,3:12:14:741:990:398
3:12:34:765:305:256,3:12:34:772:589:324
3:12:54:796:844:363,3:12:54:801:376:61
3:13:14:827:23:606,3:13:14:834:575:662
3:13:34:859:262:157,3:13:34:863:867:472
3:13:54:887:625:938,3:13:54:893:613:650
3:14:14:923:986:925,3:14:14:928:781:583
3:14:34:956:151:665,3:14:34:960:960:821
3:14:54:987:762:680,3:14:54:992:955:744
3:15:15:18:818:481,3:15:15:23:729:958
3:15:35:47:938:845,3:15:35:52:480:753
3:15:55:86:108:846,3:15:55:92:655:762
3:16:15:114:93:223,3:16:15:122:346:597
3:16:35:149:22:792,3:16:35:154:907:235
3:16:55:177:207:239,3:16:55:182:313:938
3:17:15:204:792:779,3:17:15:210:398:309
3:17:35:232:378:524,3:17:35:239:860:353
3:17:55:260:880:576,3:17:55:265:729:310
3:18:15:283:825:354,3:18:15:292:473:847
3:18:35:312:91:564,3:18:35:317:184:697
3:18:55:341:698:83,3:18:55:346:427:135
